Flightdate,num_flights,avg_num_flights_3day
2018-12-01,15547,15547.0000
2018-12-02,19041,17294.0000
2018-12-03,19996,18194.6667
2018-12-04,18916,19317.6667
2018-12-05,19457,19456.3333
2018-12-06,20344,19572.3333
2018-12-07,20414,20071.6667
2018-12-08,15460,18739.3333
2018-12-09,18928,18267.3333
2018-12-10,19995,18127.6667
2018-12-11,18946,19289.6667
2018-12-12,19424,19455.0000
2018-12-13,20373,19581.0000
2018-12-14,20450,20082.3333
2018-12-15,15549,18790.6667
2018-12-16,18982,18327.0000
2018-12-17,20048,18193.0000
2018-12-18,19301,19443.6667
2018-12-19,20345,19898.0000
2018-12-20,20947,20197.6667
2018-12-21,21014,20768.6667
2018-12-22,19363,20441.3333
2018-12-23,20368,20248.3333
2018-12-24,16184,18638.3333
2018-12-25,15748,17433.3333
2018-12-26,20588,17506.6667
2018-12-27,20717,19017.6667
2018-12-28,20730,20678.3333
2018-12-29,19306,20251.0000
2018-12-30,20346,20127.3333
2018-12-31,17015,18889.0000
